Date,Close Price,Open,High,Low
2012-01-04,1504.22,1517.69,1525.14,1502.09
2012-01-05,1514.43,1507.05,1514.82,1504.54
2012-01-06,1514.13,1513.13,1515.27,1508.93
2012-01-09,1521.73,1515.06,1521.73,1513.35
2012-01-10,1521.99,1519.75,1524.1,1518.76
2012-01-11,1522.29,1522.03,1523.94,1518.8
2012-01-12,1525.56,1521.19,1525.56,1520.78
2012-01-13,1523.07,1525.68,1526.27,1521.94
2012-01-16,1509.06,1520.39,1521.2,1509.06
2012-01-17,1519.36,1509.61,1520.27,1509.61
2012-01-18,1517.38,1517.09,1519.23,1513.38
2012-01-19,1516.81,1515.8,1522.32,1514.04
2012-01-20,1522.66,1518.14,1522.98,1516.91
2012-01-23,1522.66,1518.14,1522.98,1516.91
2012-01-24,1522.66,1518.14,1522.98,1516.91
2012-01-25,1519.76,1523.7,1527.57,1518.35
2012-01-26,1523.86,1520.67,1523.86,1519.86
2012-01-27,1520.9,1523.87,1523.87,1519.19
2012-01-30,1513.55,1518.91,1523.91,1512.03
2012-01-31,1521.29,1517.02,1521.29,1509.49
2012-02-01,1521.29,1517.02,1521.29,1509.49
2012-02-02,1537.09,1526.61,1540.89,1526.57
2012-02-03,1538.77,1537.59,1541.31,1526.03
2012-02-06,1538.77,1537.59,1541.31,1526.03
2012-02-07,1538.77,1537.59,1541.31,1526.03
2012-02-08,1553.18,1542.27,1554.06,1542.27
2012-02-09,1565.32,1555.15,1565.32,1551.19
2012-02-10,1561.66,1562.72,1564.66,1559.31
2012-02-13,1562.82,1560.35,1562.89,1558.06
2012-02-14,1566.05,1565.25,1566.12,1560.83
2012-02-15,1561.3,1566.66,1566.66,1558.55
2012-02-16,1550.49,1558.27,1559.08,1549.34
2012-02-17,1557.15,1553.68,1559.92,1553.68
2012-02-20,1560.57,1557.91,1562.6,1557.31
2012-02-21,1563.78,1562.98,1564.86,1558.13
2012-02-22,1560.52,1563.82,1565.25,1558.94
2012-02-23,1556.66,1559.13,1561.5,1556.66
2012-02-24,1558.77,1557.13,1559.64,1553.62
2012-02-27,1559.04,1560.63,1565.87,1558.29
2012-02-28,1556.73,1562.13,1562.42,1552.62
2012-02-29,1569.65,1557.5,1573.75,1557.5
2012-03-01,1573.45,1568.89,1576.23,1568.83
2012-03-02,1583.78,1574.99,1587.11,1574.78
2012-03-05,1589.22,1586.65,1594.72,1586.13
2012-03-06,1589.91,1589.1,1589.95,1580.51
2012-03-07,1574.83,1585.3,1585.3,1572.43
2012-03-08,1578.36,1576.36,1580.41,1576.17
2012-03-09,1579,1579.26,1582,1577.23
2012-03-12,1564.75,1579.83,1580.08,1563.73
2012-03-13,1564.02,1564.84,1569.15,1562.97
2012-03-14,1575.71,1570.06,1575.71,1568.41
2012-03-15,1579.38,1576.03,1579.45,1574.59
2012-03-16,1571.4,1580.48,1583.55,1571.05
2012-03-19,1573.6,1574.3,1578.51,1570.88
2012-03-20,1577.62,1575.22,1579.88,1573.81
2012-03-21,1582.53,1575.38,1582.97,1573.17
2012-03-22,1583.24,1580.94,1586.65,1580.07
2012-03-23,1585.83,1583.95,1587.08,1582.88
2012-03-26,1582.98,1585.72,1588.06,1582.98
2012-03-27,1588.1,1585.8,1591.03,1585.8
2012-03-28,1583.75,1588.16,1589.5,1582.8
2012-03-29,1585.44,1584.17,1585.46,1581.79
2012-03-30,1596.33,1590.21,1596.33,1588.54
2012-04-02,1603.78,1594.57,1603.96,1590.27
2012-04-03,1606.63,1607.13,1609.33,1604.76
2012-04-04,1599.27,1607.54,1609.16,1597.8
2012-04-05,1593.44,1595.66,1596.46,1591.85
