Date,Close,Open,High,Low
2012-01-04,387.2,387.2,387.2,387.2
2012-01-05,389.15,389.15,389.15,389.15
2012-01-06,384.12,384.12,384.12,384.12
2012-01-09,390.22,390.22,390.22,390.22
2012-01-10,390.61,390.61,390.61,390.61
2012-01-11,398.47,398.47,398.47,398.47
2012-01-12,398.72,398.72,398.72,398.72
2012-01-13,396.34,396.34,396.34,396.34
2012-01-16,393.19,393.19,393.19,393.19
2012-01-17,400.01,400.01,400.01,400.01
2012-01-18,403.63,403.63,403.63,403.63
2012-01-19,406.1,406.1,406.1,406.1
2012-01-20,410.5,410.5,410.5,410.5
2012-01-23,410.5,410.5,410.5,410.5
2012-01-24,406.98,406.98,406.98,406.98
2012-01-25,404.04,404.04,404.04,404.04
2012-01-26,398.74,398.74,398.74,398.74
2012-01-27,405.37,405.37,405.37,405.37
2012-01-30,403.82,403.82,403.82,403.82
2012-01-31,409.33,409.33,409.33,409.33
2012-02-01,410.66,409.33,410.66,409.33
2012-02-02,424.05,424.05,424.05,424.05
2012-02-03,418.6,418.6,418.6,418.6
2012-02-06,425.26,425.26,425.26,425.26
2012-02-07,418.8,418.8,418.8,418.8
2012-02-08,424.19,424.19,424.19,424.19
2012-02-09,421.12,421.12,421.12,421.12
2012-02-10,422.44,422.44,422.44,422.44
2012-02-13,423.26,423.26,423.26,423.26
2012-02-14,421.22,421.22,421.22,421.22
2012-02-15,420.57,420.57,420.57,420.57
2012-02-16,420.23,420.23,420.23,420.23
2012-02-17,432.06,432.06,432.06,432.06
2012-02-20,440.83,440.83,440.83,440.83
2012-02-21,436.24,436.24,436.24,436.24
2012-02-22,438.06,438.06,438.06,438.06
2012-02-23,435.98,435.98,435.98,435.98
2012-02-24,438.92,438.92,438.92,438.92
2012-02-27,428.62,428.62,428.62,428.62
2012-02-28,426.72,426.72,426.72,426.72
2012-02-29,432.81,432.81,432.81,432.81
2012-03-01,436.88,436.88,436.88,436.88
2012-03-02,446.09,446.09,446.09,446.09
2012-03-05,447.94,447.94,447.94,447.94
2012-03-06,443.61,443.61,443.61,443.61
2012-03-07,437.72,437.72,437.72,437.72
2012-03-08,440.65,440.65,440.65,440.65
2012-03-09,442.42,442.42,442.42,442.42
2012-03-12,442.5,442.5,442.5,442.5
2012-03-13,444.36,444.36,444.36,444.36
2012-03-14,446.8,446.8,446.8,446.8
2012-03-15,441.04,441.04,441.04,441.04
2012-03-16,453.17,453.17,453.17,453.17
2012-03-19,450.12,450.12,450.12,450.12
2012-03-20,446.89,446.89,446.89,446.89
2012-03-21,441.54,441.54,441.54,441.54
2012-03-22,441.42,441.42,441.42,441.42
2012-03-23,441.94,441.94,441.94,441.94
2012-03-26,439.34,439.34,439.34,439.34
2012-03-27,442.73,442.73,442.73,442.73
2012-03-28,440.59,440.59,440.59,440.59
2012-03-29,442.3,442.3,442.3,442.3
2012-03-30,445.44,445.44,445.44,445.44
2012-04-02,446.15,446.15,446.15,446.15
2012-04-03,438.9,438.9,438.9,438.9
2012-04-04,437.95,437.95,437.95,437.95
2012-04-05,437.95,437.95,437.95,437.95
2012-04-06,437.95,437.95,437.95,437.95
2012-04-09,437.95,437.95,437.95,437.95
2012-04-10,436.95,436.95,436.95,436.95
2012-04-11,436.91,436.91,436.91,436.91
2012-04-12,438.88,438.88,438.88,438.88
2012-04-13,442.25,442.25,442.25,442.25
2012-04-16,445.33,445.33,445.33,445.33
2012-04-17,447.87,447.87,447.87,447.87
2012-04-18,450.91,450.91,450.91,450.91
2012-04-19,449.19,449.19,449.19,449.19
2012-04-20,447.25,447.25,447.25,447.25
2012-04-23,448.99,448.99,448.99,448.99
2012-04-24,449.72,449.72,449.72,449.72
2012-04-25,451.94,451.94,451.94,451.94
2012-04-26,451.96,451.96,451.96,451.96
2012-04-27,448.13,448.13,448.13,448.13
2012-04-30,450.27,450.27,450.27,450.27
2012-05-01,450.27,450.27,450.27,450.27
2012-05-02,452.89,452.89,452.89,452.89
2012-05-03,459.24,459.24,459.24,459.24
2012-05-04,458.38,458.38,458.38,458.38
2012-05-07,458.38,458.38,458.38,458.38
2012-05-08,452.24,452.24,452.24,452.24
2012-05-09,449.58,449.58,449.58,449.58
2012-05-10,449.51,449.51,449.51,449.51
2012-05-11,447.44,447.44,447.44,447.44
2012-05-14,441.55,441.55,441.55,441.55
2012-05-15,432.86,432.86,432.86,432.86
2012-05-16,424.5,424.5,424.5,424.5
2012-05-17,437.83,437.83,437.83,437.83
2012-05-18,425.04,425.04,425.04,425.04
2012-05-21,431.37,431.37,431.37,431.37
2012-05-22,432.21,432.21,432.21,432.21
2012-05-23,430.02,430.02,430.02,430.02
2012-05-24,428.66,428.66,428.66,428.66
2012-05-25,431.39,431.39,431.39,431.39
2012-05-28,433.62,433.62,433.62,433.62
2012-05-29,440.56,440.56,440.56,440.56
2012-05-30,439.32,439.32,439.32,439.32
2012-05-31,443.97,443.97,443.97,443.97
2012-06-01,440.98,440.98,440.98,440.98
2012-06-04,440.98,440.98,440.98,440.98
2012-06-05,428.11,428.11,428.11,428.11
2012-06-06,431.82,431.82,431.82,431.82
2012-06-07,436.76,436.76,436.76,436.76
2012-06-08,434.38,434.38,434.38,434.38
2012-06-11,439.69,439.69,439.69,439.69
2012-06-12,439.69,439.69,439.69,439.69
2012-06-13,444.17,444.17,444.17,444.17
2012-06-14,437.38,437.38,437.38,437.38
2012-06-15,430.33,430.33,430.33,430.33
2012-06-18,440.54,440.54,440.54,440.54
2012-06-19,442.51,442.51,442.51,442.51
2012-06-20,448.51,448.51,448.51,448.51
2012-06-21,444.42,444.42,444.42,444.42
2012-06-22,445.09,445.09,445.09,445.09
2012-06-25,447.35,447.35,447.35,447.35
2012-06-26,449.51,449.51,449.51,449.51
2012-06-27,454.38,454.38,454.38,454.38
2012-06-28,454.69,454.69,454.69,454.69
2012-06-29,452.97,452.97,452.97,452.97
2012-07-02,458.01,458.01,458.01,458.01
2012-07-03,462.83,462.83,462.83,462.83
2012-07-04,462.19,462.19,462.19,462.19
2012-07-05,463.5,463.5,463.5,463.5
2012-07-06,463.54,463.54,463.54,463.54
2012-07-09,455.41,455.41,455.41,455.41
2012-07-10,451.75,451.75,451.75,451.75
2012-07-11,453.02,453.02,453.02,453.02
2012-07-12,450.36,450.36,450.36,450.36
2012-07-13,450.76,450.76,450.76,450.76
2012-07-16,458.28,458.28,458.28,458.28
2012-07-17,457.22,457.22,457.22,457.22
2012-07-18,452.36,452.36,452.36,452.36
2012-07-19,449.05,449.05,449.05,449.05
2012-07-20,451.78,451.78,451.78,451.78
2012-07-23,445.24,445.24,445.24,445.24
2012-07-24,446.59,446.59,446.59,446.59
2012-07-25,446.01,446.01,446.01,446.01
2012-07-26,444.38,444.38,444.38,444.38
2012-07-27,450.45,450.45,450.45,450.45
2012-07-30,456.29,456.29,456.29,456.29
2012-07-31,458.64,458.64,458.64,458.64
2012-08-01,457.75,457.75,457.75,457.75
2012-08-02,458.02,458.02,458.02,458.02
2012-08-03,457.26,457.26,457.26,457.26
2012-08-06,457.62,457.62,457.62,457.62
2012-08-07,457.62,457.62,457.62,457.62
2012-08-08,459.57,459.57,459.57,459.57
2012-08-09,455.59,455.59,455.59,455.59
2012-08-10,456.28,456.28,456.28,456.28
2012-08-13,457.79,457.79,457.79,457.79
2012-08-14,457.15,457.15,457.15,457.15
2012-08-15,456.94,456.94,456.94,456.94
2012-08-16,452.95,452.95,452.95,452.95
2012-08-17,450.89,450.89,450.89,450.89
2012-08-20,450.89,450.89,450.89,450.89
2012-08-21,450.89,450.89,450.89,450.89
2012-08-22,445.59,445.59,445.59,445.59
2012-08-23,449.57,449.57,449.57,449.57
2012-08-24,444.37,444.37,444.37,444.37
2012-08-27,444.37,444.37,444.37,444.37
2012-08-28,448.11,448.11,448.11,448.11
2012-08-29,449.85,449.85,449.85,449.85
2012-08-30,446.62,446.62,446.62,446.62
2012-08-31,451.13,451.13,451.13,451.13
2012-09-03,451.94,451.94,451.94,451.94
2012-09-04,448.27,448.27,448.27,448.27
2012-09-05,446.23,446.23,446.23,446.23
2012-09-06,446.12,446.12,446.12,446.12
2012-09-07,451.04,451.04,451.04,451.04
2012-09-10,450.19,450.19,450.19,450.19
2012-09-11,449.84,449.84,449.84,449.84
2012-09-12,451.53,451.53,451.53,451.53
2012-09-13,454.7,454.7,454.7,454.7
2012-09-14,461.89,461.89,461.89,461.89
2012-09-17,464.55,464.55,464.55,464.55
2012-09-18,463.45,463.45,463.45,463.45
2012-09-19,462.73,462.73,462.73,462.73
2012-09-20,460.11,460.11,460.11,460.11
2012-09-21,460.03,460.03,460.03,460.03
2012-09-24,464.11,464.11,464.11,464.11
2012-09-25,463.25,463.25,463.25,463.25
