Date,Price,Open,High,Low
2012-01-04,2711.02,2708.55,2714.68,2694.78
2012-01-05,2713.02,2709.25,2733.86,2708.21
2012-01-06,2715.59,2708.45,2717.6,2699.81
2012-01-09,2691.28,2696.81,2707.53,2683.15
2012-01-10,2719.83,2705.81,2721.62,2699
2012-01-11,2747.13,2717.84,2747.13,2714.92
2012-01-12,2743.66,2740.98,2759.77,2732.31
2012-01-13,2791.54,2758.52,2791.54,2755.86
2012-01-16,2756.49,2772.32,2772.63,2746.6
2012-01-17,2815.85,2766.18,2815.85,2765.21
2012-01-18,2795.4,2804.58,2824.72,2792.56
2012-01-19,2811.2,2812.49,2818.9,2805.51
2012-01-20,2849.38,2821.35,2852.46,2820.37
2012-01-23,2849.38,2821.35,2852.46,2820.37
2012-01-24,2849.38,2821.35,2852.46,2820.37
2012-01-25,2891.64,2864.56,2891.64,2860.06
2012-01-26,2894.43,2906.77,2917.59,2876.16
2012-01-27,2916.26,2892.64,2916.29,2888.28
2012-01-30,2888.29,2900.72,2907.68,2881.68
2012-01-31,2906.69,2879.94,2906.69,2874.31
2012-02-01,2904.76,2900.27,2905.97,2883.49
2012-02-02,2901.04,2918.63,2925.43,2901.04
2012-02-03,2917.95,2911.11,2931.77,2908.49
2012-02-06,2940.1,2948.83,2959.44,2939.43
2012-02-07,2957.78,2945.34,2963.19,2941.45
2012-02-08,2982.2,2964.36,2985.98,2960.22
2012-02-09,2981.17,2969.01,2992.93,2957.01
2012-02-10,2960,2984.36,2994.5,2954.56
2012-02-13,2976.34,2963.4,2978.33,2952.22
2012-02-14,2987.41,2975.43,2988.13,2955.98
2012-02-15,3011.68,2998.41,3014.76,2982.63
2012-02-16,2977.2,3005.71,3006.25,2973.61
2012-02-17,3000.59,3004.26,3010.67,2984.68
2012-02-20,3021.19,3021.19,3021.53,3000.64
2012-02-21,3025.07,3023.89,3031.45,3003.62
2012-02-22,2995.59,3013.48,3019.57,2995.59
2012-02-23,2968.34,2977.12,2988.63,2956.66
2012-02-24,2978.08,2976.83,2978.08,2960.02
2012-02-27,2946.78,2973.45,2983.51,2946.57
2012-02-28,2969.73,2952.95,2970.44,2945.37
2012-02-29,2994.06,2980.58,2999.16,2978.55
2012-03-01,2978.84,2998.87,3010.5,2974.94
2012-03-02,2993.49,3002.21,3003.12,2985.37
2012-03-05,2991.8,2994.92,2998.12,2983.19
2012-03-06,2932.01,2993.29,2993.58,2924.46
2012-03-07,2913.16,2910.15,2928.56,2906.58
2012-03-08,2970.38,2927.77,2970.38,2927.46
2012-03-09,2963.15,2970.76,2987.16,2963.15
2012-03-12,2962.18,2964.86,2973.68,2958.94
2012-03-13,2989.07,2975.65,2992.82,2973.67
2012-03-14,3026.4,3012.82,3027.61,3011.2
2012-03-15,3025.84,3026.67,3030.68,3016.92
2012-03-16,3010.68,3029.79,3035.78,3010.68
2012-03-19,2990.09,3027.58,3029.92,2986.25
2012-03-20,3002.73,3003.45,3017.47,2997.4
2012-03-21,3005.63,3002.25,3008.78,2989.55
2012-03-22,2979.25,3002.25,3009.75,2979.25
2012-03-23,2990.08,2982.41,2994.29,2980.53
2012-03-26,2974.5,2991.56,2994.93,2974.5
2012-03-27,3018.91,3001.12,3018.91,2992.44
2012-03-28,3015.98,3012.73,3015.98,3000.14
2012-03-29,2994.09,3002.24,3015.32,2991.72
2012-03-30,3010.46,3009.3,3012.12,2998.02
2012-04-02,3016.07,3013.37,3024.08,3011.26
2012-04-03,3014.98,3027.56,3033.15,3007.93
2012-04-04,2985.04,3007.73,3013.06,2985.04
2012-04-05,2986.2,2979.56,3002.25,2965.34
2012-04-06,2986.2,2979.56,3002.25,2965.34
2012-04-09,2960.1,2963.38,2967.06,2955.52
2012-04-10,2982.44,2962.91,2982.44,2962.01
2012-04-11,2946.44,2960.61,2961.59,2946.29
2012-04-12,2978.14,2961.4,2982.96,2958.38
2012-04-13,2987.82,2997.87,3006.31,2987.82
2012-04-16,2992.12,2970.61,2993.48,2969.36
2012-04-17,2986.59,2996.64,2996.64,2967.48
2012-04-18,3000.58,3004.31,3007.61,2995.59
2012-04-19,3008.21,3003.15,3010.85,2996.33
2012-04-20,2994.48,3001.71,3009.16,2992.62
2012-04-23,2962.35,2991.65,2994.63,2958.58
2012-04-24,2974.37,2971.93,2984.2,2969.07
2012-04-25,2979.78,2983.51,2983.56,2970.05
2012-04-26,2981.47,2980.67,2989.59,2970.48
2012-04-27,2981.58,2992.89,2995.93,2975.24
2012-04-30,2978.57,2966.53,2982.14,2966.53
2012-05-01,2978.57,2966.53,2982.14,2966.53
2012-05-02,3006.14,2986.94,3006.14,2985.86
2012-05-03,3000.94,3005.47,3013.34,3000.94
2012-05-04,2990.59,2991.16,2998.48,2987.99
2012-05-07,2924.95,2946.88,2950.62,2918.14
2012-05-08,2931.98,2937.74,2944.41,2927.36
2012-05-09,2900.91,2914.22,2919.04,2900.91
2012-05-10,2903.6,2895.58,2904.88,2887.82
2012-05-11,2883.4,2901.14,2903.08,2874.34
2012-05-14,2864.12,2892.74,2898.85,2861.23
2012-05-15,2876.7,2858.54,2889.42,2850.61
2012-05-16,2831.15,2867.8,2871,2826.28
2012-05-17,2822.61,2837.47,2849.91,2822.61
2012-05-18,2779.1,2783.22,2789.42,2762.81
2012-05-21,2790.16,2776.79,2794.97,2768.48
2012-05-22,2823.75,2813.47,2831.23,2812.32
2012-05-23,2780.42,2797.85,2798.95,2780.42
2012-05-24,2779.53,2783.05,2792.36,2774.88
2012-05-25,2772.75,2784.93,2787.37,2765.08
2012-05-28,2787.22,2766.54,2796.75,2758.41
2012-05-29,2801.85,2781.84,2811.19,2777.88
2012-05-30,2783.95,2791.33,2799.19,2779.31
2012-05-31,2772.54,2768.69,2782.58,2760.9
2012-06-01,2745.71,2758.14,2761.08,2737.99
2012-06-04,2698.9,2706.57,2715.6,2698.9
2012-06-05,2712.31,2721.51,2730.52,2711.51
2012-06-06,2760.83,2725.22,2765.97,2722.12
2012-06-07,2759.26,2775.47,2778.47,2755.1
2012-06-08,2737.89,2752.44,2760.25,2735.59
2012-06-11,2787.81,2770.86,2790.19,2770.06
2012-06-12,2797.08,2764.08,2797.08,2760.26
2012-06-13,2786.88,2788.98,2794.48,2776.02
2012-06-14,2773.81,2776.11,2784.09,2767.58
2012-06-15,2811,2775.66,2814,2772.47
2012-06-18,2824.22,2849.93,2850.63,2821.26
2012-06-19,2842.41,2830.98,2845.09,2828.31
2012-06-20,2855.68,2853.94,2861.53,2844.22
2012-06-21,2830.15,2848.39,2850.84,2826.28
2012-06-22,2828.09,2801.61,2828.09,2798.84
2012-06-25,2815.26,2811.43,2824.68,2808.83
2012-06-26,2805.63,2803.24,2815.64,2802.92
2012-06-27,2841.6,2802.78,2846.09,2802.27
2012-06-28,2846.82,2853.78,2869.29,2842.48
2012-06-29,2878.45,2857.04,2897.96,2853.58
2012-07-02,2910.59,2902.09,2913.36,2888.05
2012-07-03,2945.33,2911.21,2945.33,2909.33
2012-07-04,2948.77,2956.76,2964.61,2948.5
2012-07-05,2971.47,2957.2,2971.47,2942.69
2012-07-06,2978.55,2963.22,2980.78,2956.54
2012-07-09,2929.08,2957.59,2961.05,2929.08
2012-07-10,2964.62,2943.22,2966.22,2937.6
2012-07-11,2989.31,2941.8,2995.38,2941.27
2012-07-12,2972.04,2978.42,2987.32,2966.52
2012-07-13,2995.56,2971.87,2999.34,2970.52
2012-07-16,2998.75,3002.23,3004.34,2990.24
2012-07-17,3014.8,2995.89,3027.07,2995.43
2012-07-18,3017.21,3022.99,3024.69,3000.58
2012-07-19,3028.96,3035.85,3039.77,3020.97
2012-07-20,3015.53,3025.81,3028.02,3005.81
2012-07-23,2982.49,2999.38,3001.7,2973.93
2012-07-24,2998.44,2989.92,3007.19,2988.83
2012-07-25,2990.92,2985.84,2996.79,2976.3
2012-07-26,3004.57,3000.5,3026.49,2997.49
2012-07-27,2998.49,3028.52,3029.53,2998.01
2012-07-30,3032.8,3020.23,3039.35,3015.46
2012-07-31,3036.4,2985.43,3040.11,2985.43
2012-08-01,3051.08,3026.54,3054.9,3016.63
2012-08-02,3036.19,3048.13,3055.08,3032.75
2012-08-03,3051.33,3025.55,3056.07,3021.43
2012-08-06,3071.82,3080.91,3086.18,3069.59
2012-08-07,3067.74,3077.7,3086.94,3066.53
2012-08-08,3052.25,3071.26,3077.66,3044.2
2012-08-09,3052.25,3071.26,3077.66,3044.2
2012-08-10,3054.2,3047.19,3062.41,3042.42
2012-08-13,3064.81,3047.52,3067.62,3044.53
2012-08-14,3087.84,3065.83,3088.45,3064.87
2012-08-15,3062.11,3078.03,3078.03,3056.64
2012-08-16,3062.89,3063.19,3081.52,3060.61
2012-08-17,3062.11,3074.94,3075.06,3059.64
2012-08-20,3062.11,3074.94,3075.06,3059.64
2012-08-21,3065.77,3061.91,3072.16,3060.76
2012-08-22,3049.47,3051.38,3053.21,3032.56
2012-08-23,3056.37,3053.06,3071.91,3049.94
2012-08-24,3050.49,3043.87,3052.07,3036.68
2012-08-27,3044.49,3054.7,3059.54,3041.7
2012-08-28,3040.07,3040.66,3048.97,3039.93
2012-08-29,3041.57,3042.07,3054.17,3041.57
2012-08-30,3011.82,3031.73,3033.36,3004.76
2012-08-31,3025.46,3007.16,3025.46,3005.92
2012-09-03,3017.22,3013.63,3028.8,3012.81
2012-09-04,3011.55,3025.07,3029.23,3010.51
2012-09-05,2995.9,3003.69,3008.46,2986.24
2012-09-06,2989.26,2989,2994.36,2977.64
2012-09-07,3011.7,3012.59,3021.77,3005.1
2012-09-10,3008.72,3014.45,3021.22,3006.89
2012-09-11,3016.4,3010.83,3019.63,3004.72
2012-09-12,3029.66,3031.63,3035.8,3021.07
2012-09-13,3030.14,3019.21,3033.6,3013.34
2012-09-14,3070.42,3059.31,3074.86,3057.54
2012-09-17,3078.72,3081.94,3088.35,3075.09
2012-09-18,3067.98,3077.01,3077.67,3065.53
2012-09-19,3075.63,3071.13,3085.47,3068.53
2012-09-20,3062.61,3072.03,3076.35,3057.74
2012-09-21,3078.23,3077.72,3084.46,3065.41
2012-09-24,3067.93,3071.58,3077.26,3054.93
2012-09-25,3067.13,3066.74,3078.32,3066.04
2012-09-26,3046.68,3040.26,3052.27,3038.43
2012-09-27,3059.43,3044.07,3066.8,3040.89
2012-09-28,3060.34,3068.49,3073.08,3056.51
2012-10-01,3057.86,3054.57,3057.86,3043.81
