Date,Price,Open,High,Low
2012-01-04,3907.42,3858.06,3921.17,3858.06
2012-01-05,3906.26,3907.51,3924.05,3893.19
2012-01-06,3869.41,3906.44,3906.68,3852.75
2012-01-09,3889.07,3868.78,3890.2,3848.34
2012-01-10,3938.84,3888.71,3941.31,3886.87
2012-01-11,3909.64,3938.93,3954.86,3902.34
2012-01-12,3909.5,3910,3918.59,3890.93
2012-01-13,3935.33,3909.05,3943.26,3909.05
2012-01-16,3909.69,3935.24,3935.24,3894.83
2012-01-17,3954.76,3910.06,3955.74,3910.06
2012-01-18,3978.13,3954.57,3978.45,3947.86
2012-01-19,4001.07,3978.49,4027.89,3978.49
2012-01-20,3986.51,4001.8,4024.95,3967.34
2012-01-23,3986.51,4001.8,4024.95,3967.34
2012-01-24,3994.58,3986.97,4038.78,3985.51
2012-01-25,3963.61,3995.12,3997.11,3948.96
2012-01-26,3983.43,3963.78,3983.51,3950.74
2012-01-27,3986.41,3983.52,3992.9,3969.46
2012-01-30,3915.16,3986.14,3986.14,3896.4
2012-01-31,3941.69,3914.62,3941.69,3902.16
2012-02-01,3964.98,3941.78,3965.32,3936.81
2012-02-02,4016.9,3965.43,4020.41,3965.43
2012-02-03,4015.95,4016.63,4025.94,4001.21
2012-02-06,3974.79,4015.77,4040.08,3957.55
2012-02-07,3955.45,3975.15,3986.37,3929.64
2012-02-08,3988.7,3955.63,3988.85,3950.45
2012-02-09,3978.99,3988.59,3988.59,3953.82
2012-02-10,3912.39,3978.63,3978.99,3895.61
2012-02-13,3961.9,3912.48,3962.62,3906.91
2012-02-14,3952.82,3962.8,3964.41,3939.93
2012-02-15,3953.05,3952.28,3963.53,3942.24
2012-02-16,3927.61,3952.51,3952.51,3913.9
2012-02-17,3976.54,3928.24,3976.58,3928.24
2012-02-20,3980.25,3976.81,3995.08,3961.35
2012-02-21,4002.95,3980.16,4008.23,3980.16
2012-02-22,3995.02,4002.68,4002.68,3979.09
2012-02-23,3958.81,3994.66,3994.66,3953.43
2012-02-24,3894.56,3958.54,3959.1,3850.13
2012-02-27,3861.02,3894.2,3894.76,3838.54
2012-02-28,3903.56,3861.2,3907.14,3858.08
2012-02-29,3985.21,3903.83,3986.11,3903.83
2012-03-01,3962.29,3985.03,3985.03,3950.76
2012-03-02,4004.87,3962.92,4005.16,3961.44
2012-03-05,3984.9,4004.76,4004.76,3966.72
2012-03-06,3967.08,3984.36,3984.36,3938.74
2012-03-07,3942.52,3965.98,3965.98,3929.19
2012-03-08,3967.67,3943.06,3970.23,3942.95
2012-03-09,3991.54,3968.3,3995.19,3968.3
2012-03-12,3987.35,3984.18,4007.95,3969
2012-03-13,4008.64,3987.97,4008.68,3987.97
2012-03-14,4054.33,4009.09,4058.8,4009.09
2012-03-15,4039.98,4054.68,4065.7,4032.22
2012-03-16,4028.54,4040.52,4060.08,4017.86
2012-03-19,4024.73,4028.9,4043.19,4012.54
2012-03-20,4022.17,4025.18,4035.32,4003.52
2012-03-21,4036.23,4022.26,4036.68,4014.83
2012-03-22,4041.56,4036.41,4044.15,4024.04
2012-03-23,4041.56,4036.41,4044.15,4024.04
2012-03-26,4031.7,4041.74,4061.14,4011.93
2012-03-27,4079.38,4032.33,4081.85,4032.33
2012-03-28,4090.57,4079.29,4091.94,4063.8
2012-03-29,4105.17,4090.39,4105.63,4063.51
2012-03-30,4121.55,4105.26,4129.33,4099.72
2012-04-02,4166.07,4121.82,4168.74,4121.71
2012-04-03,4215.44,4166.61,4232.92,4166.61
2012-04-04,4134.04,4215.08,4215.08,4122.22
2012-04-05,4166.37,4132.96,4171.2,4109.32
2012-04-06,4166.37,4132.96,4171.2,4109.32
2012-04-09,4154.07,4165.74,4165.74,4141.72
2012-04-10,4149.8,4156.38,4171.67,4143.74
2012-04-11,4130.01,4149.62,4150.46,4111.76
2012-04-12,4139.54,4130.19,4149.75,4120.37
2012-04-13,4159.28,4139.81,4164.74,4138.63
2012-04-16,4146.58,4159.37,4164.48,4135.62
2012-04-17,4157.36,4147.03,4172.38,4140.93
2012-04-18,4166.24,4158.09,4185.21,4151.26
2012-04-19,4163.72,4166.42,4167.42,4146.2
2012-04-20,4181.37,4163.9,4181.78,4159.04
2012-04-23,4155.49,4181.46,4193.24,4130.85
2012-04-24,4170.35,4155.71,4173.74,4147.02
2012-04-25,4163.64,4169.99,4170.18,4149.27
2012-04-26,4180.31,4163.82,4201.06,4163.46
2012-04-27,4163.98,4180.67,4189.45,4155.34
2012-04-30,4180.73,4164.07,4180.91,4144.35
2012-05-01,4195.98,4181.09,4196.29,4170.71
2012-05-02,4219.3,4196.43,4220.55,4192.49
2012-05-03,4224,4218.57,4226.42,4202.79
2012-05-04,4216.68,4224.18,4234.73,4202.67
2012-05-07,4158.86,4216.41,4216.41,4130.25
2012-05-08,4181.07,4159.13,4182.9,4158.51
2012-05-09,4129.06,4180.18,4180.18,4118.26
2012-05-10,4133.63,4128.61,4137.67,4110.9
2012-05-11,4114.14,4133.36,4133.36,4093.66
2012-05-14,4053.07,4114.57,4120.23,4043.97
2012-05-15,4045.64,4028.7,4068.72,3997.77
2012-05-16,3980.5,4007.15,4007.15,3926.39
2012-05-17,3980.5,4007.15,4007.15,3926.39
