Date,Price,Open,High,Low
2012-01-04,1036.21,1036.14,1041.83,1034.02
2012-01-05,1036.8,1035.24,1040.26,1031.76
2012-01-06,1036.26,1034.54,1039.51,1033.4
2012-01-09,1044.84,1034.07,1044.84,1033.42
2012-01-10,1053.04,1048.09,1055.06,1047.38
2012-01-11,1051.63,1052.9,1058.93,1050.54
2012-01-12,1052.23,1053.8,1056.76,1050.2
2012-01-13,1044.81,1052,1053.94,1041.18
2012-01-16,1037.01,1038.91,1039.77,1035
2012-01-17,1056.54,1043.42,1056.54,1042.51
2012-01-18,1051.64,1056.74,1059.73,1051.64
2012-01-19,1058.94,1057.93,1061.51,1053.74
2012-01-20,1058.66,1061.23,1063.44,1056.06
2012-01-23,1062.55,1059.95,1066.82,1059.28
2012-01-24,1063.08,1065.99,1070.85,1063.08
2012-01-25,1056.01,1066.66,1067.32,1054.84
2012-01-26,1068.54,1061.27,1068.99,1061.11
2012-01-27,1076.29,1072.91,1078.01,1070.25
2012-01-30,1074.71,1076.25,1080.63,1072.71
2012-01-31,1083.97,1079.82,1083.97,1073.69
2012-02-01,1086.36,1083.05,1087.53,1078.89
2012-02-02,1091.67,1092.19,1098.89,1091.01
2012-02-03,1098.95,1094.32,1099.62,1090.27
2012-02-06,1094.01,1105.75,1107.5,1094.01
2012-02-07,1101.12,1096.71,1102.33,1092.77
2012-02-08,1116.08,1107.69,1121.36,1107.52
2012-02-09,1117.17,1117.65,1121.22,1110.6
2012-02-10,1112.91,1115.71,1120.56,1111.6
2012-02-13,1117.4,1115.29,1120.5,1113.57
2012-02-14,1106.41,1115.02,1121.7,1102.77
2012-02-15,1126.48,1114,1127.99,1114
2012-02-16,1120.25,1124.47,1127.07,1117.71
2012-02-17,1129.93,1131.63,1132.73,1123.01
2012-02-20,1135.92,1135.7,1137.94,1132.05
2012-02-21,1140.39,1139.19,1143.35,1136.08
2012-02-22,1137.82,1143.92,1147.72,1137.6
2012-02-23,1140.07,1139.7,1142.49,1129.4
2012-02-24,1146.14,1143.4,1147.37,1141.72
2012-02-27,1135.04,1148.31,1148.61,1133.33
2012-02-28,1146.26,1137.57,1146.26,1134.75
2012-02-29,1160.9,1150.16,1160.9,1149.65
2012-03-01,1164.98,1159.42,1166.64,1156.97
2012-03-02,1165.15,1169.46,1173.07,1164.14
2012-03-05,1157.95,1162.55,1163.95,1157.27
2012-03-06,1153.16,1155.4,1160.28,1150.5
2012-03-07,1153.16,1155.4,1160.28,1150.5
2012-03-08,1168.31,1156.74,1168.31,1156.43
2012-03-09,1158.71,1169.99,1170.6,1158.58
2012-03-12,1150.18,1162.03,1165.26,1146.51
2012-03-13,1153.56,1155.67,1156.71,1144.43
2012-03-14,1164.36,1162.71,1166.99,1158.2
2012-03-15,1171.34,1166.53,1174.42,1166.15
2012-03-16,1189.56,1176.76,1189.56,1173.95
2012-03-19,1189.5,1196.42,1201.61,1189.5
2012-03-20,1196.6,1190.26,1200.38,1189.5
2012-03-21,1207.67,1196.65,1207.67,1193.31
2012-03-22,1191,1207.08,1214.31,1191
2012-03-23,1194.44,1192.49,1197.04,1179.49
2012-03-26,1188.32,1196.47,1199,1187.65
2012-03-27,1207.29,1202.48,1207.29,1197.82
2012-03-28,1204.01,1204.03,1209.16,1199.59
2012-03-29,1203.91,1198.58,1205.63,1194.83
2012-03-30,1196.77,1205.23,1207.28,1194.03
2012-04-02,1199.09,1195.96,1203.03,1195.21
2012-04-03,1211.07,1204.76,1213.57,1204.49
2012-04-04,1198.09,1208.33,1210.8,1198.09
2012-04-05,1182.41,1195.64,1197.04,1177.83
2012-04-06,1182.41,1195.64,1197.04,1177.83
2012-04-09,1182.41,1195.64,1197.04,1177.83
2012-04-10,1165.61,1174.23,1176.26,1156.83
2012-04-11,1154.49,1155.67,1161.53,1151.21
2012-04-12,1169.45,1158.21,1169.45,1158.21
2012-04-13,1169.45,1158.21,1169.45,1158.21
2012-04-16,1169.45,1158.21,1169.45,1158.21
2012-04-17,1160.23,1180.02,1180.02,1156.28
2012-04-18,1168.05,1170.49,1173.48,1164.24
2012-04-19,1185.34,1170.64,1185.5,1169.2
2012-04-20,1194.6,1184.99,1195.43,1182.42
2012-04-23,1189.35,1198.59,1201.12,1186.46
2012-04-24,1199.86,1193.25,1199.86,1189.36
2012-04-25,1201.36,1201.71,1204.73,1196.45
2012-04-26,1209.27,1203.84,1213.06,1203.82
2012-04-27,1211.78,1212.09,1214.78,1204.34
2012-04-30,1228.49,1218.1,1228.49,1217.91
2012-05-01,1228.49,1218.1,1228.49,1217.91
2012-05-02,1239.06,1235.73,1241.13,1233.77
2012-05-03,1240.03,1240.31,1247.72,1236.23
2012-05-04,1227.41,1239.99,1240.2,1226.36
2012-05-07,1227.41,1239.99,1240.2,1226.36
2012-05-08,1231.04,1221.37,1232.81,1219.43
2012-05-09,1207.25,1225.06,1227.34,1207.25
2012-05-10,1190.65,1201.57,1202.2,1185.89
2012-05-11,1191.01,1187.94,1195.7,1179.8
2012-05-14,1165.51,1191.4,1201.23,1159.23
2012-05-15,1184.55,1164.19,1184.55,1159.66
2012-05-16,1171.23,1165.77,1171.23,1151.84
2012-05-17,1173.56,1173.64,1179.14,1166.22
2012-05-18,1154.44,1157.73,1160.56,1148.81
2012-05-21,1135.16,1152.71,1153.73,1135.16
2012-05-22,1131.52,1146.76,1149.72,1131.52
2012-05-23,1110.7,1125.91,1128.43,1108.56
2012-05-24,1125.78,1111.06,1125.78,1101.59
2012-05-25,1132.83,1119.15,1134.2,1115.69
2012-05-28,1139.93,1130.19,1139.93,1123.92
2012-05-29,1153.66,1140.81,1156.23,1140.57
2012-05-30,1138.63,1145.38,1148.7,1137.67
2012-05-31,1141.5,1127.82,1143.92,1123.26
2012-06-01,1115.19,1137.27,1139.66,1115.19
2012-06-04,1115.19,1137.27,1139.66,1115.19
2012-06-05,1099.15,1119.57,1122.35,1099.15
2012-06-06,1117.95,1110.34,1123.44,1110.24
