Date,Price,Open,High,Low
01-03-2012,"1,513.54","1,523.60","1,523.71","1,512.08"
01-04-2012,"1,504.22","1,517.69","1,525.14","1,502.09"
01-05-2012,"1,514.43","1,507.05","1,514.82","1,504.54"
01-06-2012,"1,514.13","1,513.13","1,515.27","1,508.93"
01-09-2012,"1,521.73","1,515.06","1,521.73","1,513.35"
01-10-2012,"1,521.99","1,519.75","1,524.10","1,518.76"
01-11-2012,"1,522.29","1,522.03","1,523.94","1,518.80"
01-12-2012,"1,525.56","1,521.19","1,525.56","1,520.78"
01/13/2012,"1,523.07","1,525.68","1,526.27","1,521.94"
01/16/2012,"1,509.06","1,520.39","1,521.20","1,509.06"
01/17/2012,"1,519.36","1,509.61","1,520.27","1,509.61"
01/18/2012,"1,517.38","1,517.09","1,519.23","1,513.38"
01/19/2012,"1,516.81","1,515.80","1,522.32","1,514.04"
01/20/2012,"1,522.66","1,518.14","1,522.98","1,516.91"
01/25/2012,"1,519.76","1,523.70","1,527.57","1,518.35"
01/26/2012,"1,523.86","1,520.67","1,523.86","1,519.86"
01/27/2012,"1,520.90","1,523.87","1,523.87","1,519.19"
01/30/2012,"1,513.55","1,518.91","1,523.91","1,512.03"
01/31/2012,"1,521.29","1,517.02","1,521.29","1,509.49"
02-02-2012,"1,537.09","1,526.61","1,540.89","1,526.57"
02-03-2012,"1,538.77","1,537.59","1,541.31","1,526.03"
02-08-2012,"1,553.18","1,542.27","1,554.06","1,542.27"
02-09-2012,"1,565.32","1,555.15","1,565.32","1,551.19"
02-10-2012,"1,561.66","1,562.72","1,564.66","1,559.31"
02/13/2012,"1,562.82","1,560.35","1,562.89","1,558.06"
02/14/2012,"1,566.05","1,565.25","1,566.12","1,560.83"
02/15/2012,"1,561.30","1,566.66","1,566.66","1,558.55"
02/16/2012,"1,550.49","1,558.27","1,559.08","1,549.34"
02/17/2012,"1,557.15","1,553.68","1,559.92","1,553.68"
02/20/2012,"1,560.57","1,557.91","1,562.60","1,557.31"
02/21/2012,"1,563.78","1,562.98","1,564.86","1,558.13"
02/22/2012,"1,560.52","1,563.82","1,565.25","1,558.94"
02/23/2012,"1,556.66","1,559.13","1,561.50","1,556.66"
02/24/2012,"1,558.77","1,557.13","1,559.64","1,553.62"
02/27/2012,"1,559.04","1,560.63","1,565.87","1,558.29"
02/28/2012,"1,556.73","1,562.13","1,562.42","1,552.62"
02/29/2012,"1,569.65","1,557.50","1,573.75","1,557.50"
03-01-2012,"1,573.45","1,568.89","1,576.23","1,568.83"
03-02-2012,"1,583.78","1,574.99","1,587.11","1,574.78"
03-05-2012,"1,589.22","1,586.65","1,594.72","1,586.13"
03-06-2012,"1,589.91","1,589.10","1,589.95","1,580.51"
03-07-2012,"1,574.83","1,585.30","1,585.30","1,572.43"
03-08-2012,"1,578.36","1,576.36","1,580.41","1,576.17"
03-09-2012,"1,579.00","1,579.26","1,582.00","1,577.23"
03-12-2012,"1,564.75","1,579.83","1,580.08","1,563.73"
03/13/2012,"1,564.02","1,564.84","1,569.15","1,562.97"
03/14/2012,"1,575.71","1,570.06","1,575.71","1,568.41"
03/15/2012,"1,579.38","1,576.03","1,579.45","1,574.59"
03/16/2012,"1,571.40","1,580.48","1,583.55","1,571.05"
03/19/2012,"1,573.60","1,574.30","1,578.51","1,570.88"
03/20/2012,"1,577.62","1,575.22","1,579.88","1,573.81"
03/21/2012,"1,582.53","1,575.38","1,582.97","1,573.17"
03/22/2012,"1,583.24","1,580.94","1,586.65","1,580.07"
03/23/2012,"1,585.83","1,583.95","1,587.08","1,582.88"
03/26/2012,"1,582.98","1,585.72","1,588.06","1,582.98"
03/27/2012,"1,588.10","1,585.80","1,591.03","1,585.80"
03/28/2012,"1,583.75","1,588.16","1,589.50","1,582.80"
03/29/2012,"1,585.44","1,584.17","1,585.46","1,581.79"
03/30/2012,"1,596.33","1,590.21","1,596.33","1,588.54"
04-02-2012,"1,603.78","1,594.57","1,603.96","1,590.27"
04-03-2012,"1,606.63","1,607.13","1,609.33","1,604.76"
04-04-2012,"1,599.27","1,607.54","1,609.16","1,597.80"
04-05-2012,"1,593.44","1,595.66","1,596.46","1,591.85"
04-06-2012,"1,598.87","1,594.24","1,600.60","1,594.07"
04-09-2012,"1,591.28","1,599.03","1,599.03","1,588.58"
04-10-2012,"1,597.17","1,587.77","1,598.53","1,586.99"
04-12-2012,"1,601.27","1,597.39","1,602.05","1,593.57"
04/13/2012,"1,603.12","1,602.34","1,604.71","1,600.75"
04/16/2012,"1,597.51","1,602.42","1,602.42","1,594.63"
04/17/2012,"1,596.19","1,597.75","1,600.67","1,593.92"
04/18/2012,"1,598.86","1,598.07","1,602.34","1,598.07"
04/19/2012,"1,596.62","1,599.09","1,602.12","1,595.54"
04/20/2012,"1,591.85","1,596.84","1,596.84","1,591.85"
04/23/2012,"1,583.80","1,591.87","1,592.45","1,580.28"
04/24/2012,"1,582.28","1,580.57","1,583.29","1,579.04"
04/25/2012,"1,579.35","1,582.44","1,585.93","1,578.68"
04/26/2012,"1,579.69","1,580.33","1,583.08","1,577.71"
04/27/2012,"1,567.80","1,580.18","1,580.18","1,566.55"
04/30/2012,"1,570.61","1,570.46","1,574.49","1,568.58"
05-02-2012,"1,582.39","1,572.47","1,582.39","1,572.47"
05-03-2012,"1,583.17","1,581.78","1,584.15","1,579.53"
05-04-2012,"1,591.04","1,585.22","1,591.04","1,585.06"
05-07-2012,"1,584.87","1,585.17","1,585.54","1,579.74"
05-08-2012,"1,590.60","1,584.47","1,590.60","1,583.72"
05-09-2012,"1,584.90","1,591.03","1,591.03","1,584.90"
05-10-2012,"1,588.06","1,583.97","1,590.20","1,583.52"
05-11-2012,"1,584.32","1,588.35","1,589.53","1,572.95"
05/14/2012,"1,575.08","1,582.06","1,584.63","1,574.67"
05/15/2012,"1,561.07","1,570.75","1,571.24","1,559.01"
05/16/2012,"1,536.04","1,558.25","1,558.25","1,535.05"
05/17/2012,"1,544.21","1,536.24","1,552.25","1,536.24"
05/18/2012,"1,532.46","1,539.24","1,539.24","1,526.60"
05/21/2012,"1,538.91","1,533.17","1,540.29","1,531.95"
05/22/2012,"1,546.84","1,539.74","1,546.84","1,539.74"
05/23/2012,"1,539.71","1,547.12","1,548.65","1,535.11"
05/24/2012,"1,548.25","1,540.58","1,548.25","1,540.49"
05/25/2012,"1,551.12","1,548.71","1,552.48","1,547.48"
05/28/2012,"1,554.94","1,545.42","1,556.69","1,544.63"
05/29/2012,"1,565.32","1,554.00","1,566.13","1,552.34"
05/30/2012,"1,575.17","1,568.21","1,578.28","1,564.60"
05/31/2012,"1,580.67","1,571.78","1,582.03","1,569.99"
06-01-2012,"1,573.59","1,573.70","1,576.67","1,571.05"
06-04-2012,"1,555.18","1,566.19","1,566.19","1,554.65"
06-05-2012,"1,560.36","1,555.25","1,563.33","1,554.51"
06-06-2012,"1,569.43","1,563.65","1,572.30","1,563.62"
06-07-2012,"1,575.31","1,574.88","1,578.76","1,572.32"
06-08-2012,"1,570.62","1,575.13","1,576.52","1,568.89"
06-11-2012,"1,578.41","1,575.95","1,582.29","1,575.95"
06-12-2012,"1,576.07","1,576.91","1,576.97","1,572.53"
06/13/2012,"1,576.23","1,576.72","1,580.55","1,576.23"
06/14/2012,"1,570.94","1,576.54","1,577.60","1,570.94"
06/15/2012,"1,579.23","1,574.79","1,580.90","1,574.15"
06/18/2012,"1,582.73","1,583.35","1,588.54","1,582.25"
06/19/2012,"1,594.98","1,581.27","1,594.98","1,581.27"
06/20/2012,"1,604.39","1,595.94","1,604.39","1,594.88"
06/21/2012,"1,601.43","1,605.94","1,607.31","1,599.75"
06/22/2012,"1,603.07","1,599.70","1,608.65","1,594.44"
06/25/2012,"1,603.12","1,602.71","1,611.50","1,601.10"
06/26/2012,"1,594.10","1,602.38","1,603.67","1,593.80"
06/27/2012,"1,601.89","1,594.47","1,601.89","1,593.56"
06/28/2012,"1,594.24","1,602.41","1,602.98","1,591.85"
06/29/2012,"1,599.15","1,594.53","1,605.00","1,593.87"
07-02-2012,"1,600.85","1,599.87","1,605.22","1,599.67"
07-03-2012,"1,607.74","1,602.47","1,607.74","1,602.47"
07-04-2012,"1,613.75","1,609.44","1,614.79","1,609.44"
07-05-2012,"1,614.43","1,612.80","1,614.72","1,607.31"
07-06-2012,"1,620.55","1,616.03","1,620.55","1,613.38"
07-09-2012,"1,620.31","1,619.35","1,620.54","1,616.24"
07-10-2012,"1,624.29","1,621.01","1,625.04","1,620.95"
07-11-2012,"1,629.45","1,621.06","1,632.15","1,621.06"
07-12-2012,"1,625.49","1,628.82","1,632.94","1,624.56"
07/13/2012,"1,626.38","1,622.80","1,628.09","1,621.37"
07/16/2012,"1,635.96","1,628.37","1,635.96","1,628.37"
07/17/2012,"1,639.15","1,635.76","1,646.97","1,632.50"
07/18/2012,"1,645.00","1,640.48","1,645.39","1,640.39"
07/19/2012,"1,644.60","1,645.46","1,647.94","1,644.23"
07/20/2012,"1,643.00","1,644.20","1,647.41","1,641.58"
07/23/2012,"1,636.17","1,642.84","1,643.33","1,635.12"
07/24/2012,"1,632.57","1,638.05","1,639.71","1,629.18"
07/25/2012,"1,635.09","1,631.01","1,635.09","1,624.88"
07/26/2012,"1,623.91","1,637.45","1,638.65","1,621.31"
07/27/2012,"1,624.94","1,624.97","1,630.57","1,620.76"
07/30/2012,"1,632.35","1,626.86","1,632.35","1,623.26"
07/31/2012,"1,631.60","1,633.21","1,635.59","1,628.96"
08-01-2012,"1,632.47","1,628.07","1,635.33","1,626.68"
08-02-2012,"1,633.45","1,633.30","1,635.43","1,630.43"
08-03-2012,"1,635.04","1,629.67","1,635.77","1,627.20"
08-06-2012,"1,639.43","1,634.50","1,641.03","1,634.50"
08-07-2012,"1,631.12","1,640.56","1,641.66","1,631.12"
08-08-2012,"1,635.92","1,633.49","1,637.80","1,632.87"
08-09-2012,"1,642.52","1,635.67","1,642.52","1,635.59"
08-10-2012,"1,645.36","1,641.00","1,645.36","1,639.21"
08/13/2012,"1,646.32","1,647.30","1,650.42","1,646.19"
08/14/2012,"1,652.90","1,646.55","1,652.90","1,644.68"
08/15/2012,"1,653.78","1,651.34","1,653.78","1,646.76"
08/16/2012,"1,650.09","1,652.44","1,654.34","1,648.03"
08/17/2012,"1,649.79","1,651.67","1,654.53","1,648.05"
08/21/2012,"1,649.79","1,649.79","1,649.79","1,649.79"
08/22/2012,"1,652.25","1,652.22","1,655.39","1,649.59"
08/23/2012,"1,651.61","1,653.17","1,655.24","1,650.53"
08/24/2012,"1,648.22","1,652.00","1,654.66","1,647.90"
08/27/2012,"1,648.13","1,648.92","1,650.14","1,647.30"
08/28/2012,"1,647.11","1,648.24","1,649.00","1,645.58"
08/29/2012,"1,645.58","1,647.58","1,650.52","1,645.58"
08/30/2012,"1,646.11","1,644.72","1,650.85","1,643.48"
09-03-2012,"1,653.90","1,649.48","1,655.49","1,649.27"
09-04-2012,"1,654.11","1,653.84","1,655.35","1,652.28"
09-05-2012,"1,641.01","1,653.90","1,653.90","1,641.01"
09-06-2012,"1,617.99","1,633.59","1,635.95","1,613.16"
09-07-2012,"1,624.55","1,618.97","1,624.81","1,613.96"
09-10-2012,"1,621.04","1,624.99","1,629.19","1,619.09"
09-11-2012,"1,614.24","1,618.38","1,618.61","1,601.31"
09-12-2012,"1,613.78","1,612.04","1,616.47","1,609.01"
09/13/2012,"1,628.40","1,613.07","1,628.57","1,612.62"
09/14/2012,"1,642.95","1,634.88","1,642.95","1,633.49"
09/18/2012,"1,640.33","1,646.89","1,651.66","1,640.33"
09/19/2012,"1,646.11","1,641.49","1,647.32","1,640.81"
09/20/2012,"1,625.59","1,639.68","1,640.29","1,620.68"
09/21/2012,"1,623.70","1,625.43","1,633.65","1,619.08"
09/24/2012,"1,612.38","1,614.35","1,615.98","1,595.85"
09/25/2012,"1,618.58","1,611.82","1,620.98","1,603.09"
09/26/2012,"1,619.30","1,614.37","1,620.83","1,612.78"
09/27/2012,"1,627.84","1,621.10","1,631.67","1,620.53"
09/28/2012,"1,636.66","1,629.83","1,639.79","1,628.86"
10-01-2012,"1,643.31","1,635.38","1,644.86","1,633.39"
10-02-2012,"1,651.03","1,645.67","1,651.08","1,645.67"
10-03-2012,"1,649.75","1,653.62","1,653.80","1,640.44"
10-04-2012,"1,661.47","1,649.66","1,662.14","1,649.66"
10-05-2012,"1,660.23","1,665.17","1,668.32","1,659.50"
10-08-2012,"1,660.22","1,660.42","1,661.83","1,653.63"
10-09-2012,"1,663.32","1,658.60","1,664.98","1,658.04"
10-10-2012,"1,659.40","1,660.77","1,661.59","1,657.19"
10-11-2012,"1,655.47","1,657.20","1,658.04","1,654.01"
10-12-2012,"1,653.36","1,654.37","1,657.72","1,650.77"
10/15/2012,"1,654.44","1,651.78","1,654.44","1,649.15"
10/16/2012,"1,653.52","1,656.11","1,658.50","1,652.08"
10/17/2012,"1,660.67","1,655.42","1,660.67","1,653.55"
10/18/2012,"1,665.42","1,660.33","1,665.90","1,660.15"
10/19/2012,"1,666.35","1,665.23","1,670.16","1,665.12"
10/22/2012,"1,661.95","1,666.43","1,667.23","1,660.04"
10/23/2012,"1,664.90","1,660.80","1,666.26","1,658.03"
10/24/2012,"1,667.99","1,663.47","1,670.09","1,661.03"
10/25/2012,"1,671.89","1,668.52","1,671.89","1,667.77"
10/29/2012,"1,672.56","1,678.30","1,679.37","1,669.81"
10/30/2012,"1,674.67","1,670.82","1,677.50","1,670.45"
10/31/2012,"1,673.07","1,676.19","1,676.86","1,670.11"
11-01-2012,"1,675.69","1,675.85","1,678.57","1,670.84"
11-02-2012,"1,656.13","1,673.82","1,676.48","1,656.13"
11-05-2012,"1,654.04","1,658.58","1,658.58","1,650.24"
11-06-2012,"1,645.63","1,653.80","1,654.39","1,638.18"
11-07-2012,"1,645.53","1,649.36","1,649.94","1,643.29"
11-08-2012,"1,641.07","1,641.81","1,644.10","1,632.04"
11-09-2012,"1,641.08","1,641.98","1,643.22","1,632.36"
11-12-2012,"1,637.59","1,640.29","1,640.78","1,636.65"
11/14/2012,"1,631.68","1,637.41","1,638.84","1,629.24"
11/16/2012,"1,629.28","1,634.45","1,634.98","1,624.55"
11/19/2012,"1,623.31","1,624.18","1,626.96","1,620.51"
11/20/2012,"1,624.20","1,626.44","1,628.30","1,622.62"
11/21/2012,"1,622.97","1,624.11","1,624.42","1,619.39"
11/22/2012,"1,618.55","1,621.22","1,622.40","1,618.55"
11/23/2012,"1,614.32","1,618.69","1,618.73","1,611.09"
11/26/2012,"1,607.88","1,615.58","1,616.04","1,607.66"
11/27/2012,"1,598.17","1,606.64","1,606.88","1,596.58"
11/28/2012,"1,606.52","1,592.83","1,607.22","1,590.67"
11/29/2012,"1,607.32","1,608.52","1,612.73","1,607.09"
11/30/2012,"1,610.83","1,610.53","1,613.56","1,606.96"
12-03-2012,"1,607.35","1,608.31","1,610.46","1,606.38"
12-04-2012,"1,607.61","1,608.01","1,608.46","1,601.71"
12-05-2012,"1,613.79","1,609.54","1,614.51","1,609.35"
12-06-2012,"1,616.23","1,614.71","1,620.05","1,614.71"
12-07-2012,"1,617.77","1,615.47","1,617.77","1,614.69"
12-10-2012,"1,632.15","1,618.25","1,632.15","1,617.97"
12-11-2012,"1,641.57","1,633.82","1,642.23","1,633.82"
12-12-2012,"1,649.75","1,644.15","1,650.85","1,643.51"
12/13/2012,"1,652.75","1,652.23","1,656.62","1,649.44"
12/14/2012,"1,651.98","1,652.47","1,652.87","1,644.53"
12/17/2012,"1,648.58","1,648.62","1,648.62","1,643.78"
12/18/2012,"1,659.44","1,650.49","1,659.44","1,650.49"
12/19/2012,"1,665.64","1,666.42","1,667.70","1,660.99"
12/20/2012,"1,670.60","1,663.27","1,670.60","1,661.21"
12/21/2012,"1,658.85","1,667.09","1,668.42","1,658.85"
12/24/2012,"1,669.40","1,662.82","1,674.49","1,659.86"
12/26/2012,"1,671.58","1,669.50","1,673.19","1,665.83"
12/27/2012,"1,674.16","1,673.32","1,679.23","1,671.82"
12/28/2012,"1,681.33","1,686.70","1,686.70","1,678.58"
12/31/2012,"1,688.95","1,678.40","1,688.95","1,673.69"
01-02-2013,"1,674.72","1,685.15","1,685.15","1,674.32"
01-03-2013,"1,692.65","1,681.42","1,692.65","1,681.42"
01-04-2013,"1,692.58","1,697.10","1,699.68","1,687.32"
01-07-2013,"1,694.16","1,692.97","1,697.37","1,691.34"
01-08-2013,"1,688.91","1,691.36","1,691.70","1,682.23"
01-09-2013,"1,689.93","1,691.76","1,694.21","1,688.96"
01-10-2013,"1,684.57","1,691.94","1,693.72","1,684.57"
01-11-2013,"1,682.70","1,692.71","1,692.71","1,682.64"
01/14/2013,"1,684.63","1,686.41","1,686.69","1,682.96"
01/15/2013,"1,685.89","1,687.89","1,690.19","1,683.42"
01/16/2013,"1,682.95","1,686.52","1,687.00","1,677.98"
01/17/2013,"1,681.09","1,686.21","1,686.22","1,679.02"
01/18/2013,"1,676.44","1,682.79","1,683.96","1,674.69"
01/21/2013,"1,635.63","1,676.36","1,676.36","1,630.99"
01/22/2013,"1,628.66","1,627.00","1,628.66","1,602.12"
01/23/2013,"1,635.25","1,626.76","1,637.42","1,622.54"
01/25/2013,"1,637.13","1,643.19","1,643.84","1,634.10"
01/28/2013,"1,637.13","1,643.19","1,643.84","1,634.10"
01/29/2013,"1,637.34","1,645.02","1,646.14","1,635.38"
01/30/2013,"1,627.73","1,639.19","1,640.96","1,613.17"
01/31/2013,"1,627.55","1,628.13","1,631.86","1,622.52"
02-04-2013,"1,634.55","1,634.54","1,639.58","1,630.69"
02-05-2013,"1,633.35","1,634.65","1,637.51","1,630.73"
02-06-2013,"1,614.14","1,634.02","1,634.70","1,610.05"
02-07-2013,"1,619.57","1,600.09","1,621.06","1,597.00"
02-08-2013,"1,623.80","1,623.54","1,626.99","1,613.08"
02/13/2013,"1,631.16","1,627.46","1,633.71","1,627.46"
02/14/2013,"1,630.89","1,635.27","1,635.55","1,630.37"
02/15/2013,"1,627.93","1,632.45","1,632.56","1,624.00"
02/18/2013,"1,620.93","1,629.35","1,629.91","1,620.93"
02/19/2013,"1,615.07","1,622.17","1,623.72","1,612.66"
02/20/2013,"1,613.33","1,617.53","1,617.64","1,606.73"
02/21/2013,"1,614.05","1,609.29","1,614.05","1,599.94"
02/22/2013,"1,622.08","1,617.29","1,622.08","1,611.70"
02/25/2013,"1,627.35","1,621.12","1,627.35","1,619.97"
02/26/2013,"1,624.18","1,624.97","1,627.33","1,622.47"
02/27/2013,"1,624.14","1,625.33","1,627.07","1,623.92"
02/28/2013,"1,637.63","1,625.37","1,637.63","1,624.79"
03-01-2013,"1,637.44","1,636.47","1,640.60","1,636.47"
03-04-2013,"1,635.98","1,638.27","1,639.51","1,622.81"
03-05-2013,"1,642.08","1,637.81","1,643.42","1,637.81"
03-06-2013,"1,651.84","1,641.29","1,652.84","1,641.29"
03-07-2013,"1,650.93","1,656.65","1,656.65","1,649.17"
03-08-2013,"1,653.96","1,650.69","1,653.96","1,649.91"
03-11-2013,"1,657.96","1,652.32","1,658.68","1,649.99"
03-12-2013,"1,656.54","1,661.70","1,664.39","1,652.67"
