Date,Close,Open,High,Low
01-03-2012,380.72,380.72,380.72,380.72
01-04-2012,387.2,387.2,387.2,387.2
01-05-2012,389.15,389.15,389.15,389.15
01-06-2012,384.12,384.12,384.12,384.12
01-09-2012,390.22,390.22,390.22,390.22
01-10-2012,390.61,390.61,390.61,390.61
01-11-2012,398.47,398.47,398.47,398.47
01-12-2012,398.72,398.72,398.72,398.72
01/13/2012,396.34,396.34,396.34,396.34
01/16/2012,393.19,393.19,393.19,393.19
01/17/2012,400.01,400.01,400.01,400.01
01/18/2012,403.63,403.63,403.63,403.63
01/19/2012,406.1,406.1,406.1,406.1
01/20/2012,410.5,410.5,410.5,410.5
01/23/2012,410.5,410.5,410.5,410.5
01/24/2012,406.98,406.98,406.98,406.98
01/25/2012,404.04,404.04,404.04,404.04
01/26/2012,398.74,398.74,398.74,398.74
01/27/2012,405.37,405.37,405.37,405.37
01/30/2012,403.82,403.82,403.82,403.82
01/31/2012,409.33,409.33,409.33,409.33
02-01-2012,410.66,409.33,410.66,409.33
02-02-2012,424.05,424.05,424.05,424.05
02-03-2012,418.6,418.6,418.6,418.6
02-06-2012,425.26,425.26,425.26,425.26
02-07-2012,418.8,418.8,418.8,418.8
02-08-2012,424.19,424.19,424.19,424.19
02-09-2012,421.12,421.12,421.12,421.12
02-10-2012,422.44,422.44,422.44,422.44
02/13/2012,423.26,423.26,423.26,423.26
02/14/2012,421.22,421.22,421.22,421.22
02/15/2012,420.57,420.57,420.57,420.57
02/16/2012,420.23,420.23,420.23,420.23
02/17/2012,432.06,432.06,432.06,432.06
02/20/2012,440.83,440.83,440.83,440.83
02/21/2012,436.24,436.24,436.24,436.24
02/22/2012,438.06,438.06,438.06,438.06
02/23/2012,435.98,435.98,435.98,435.98
02/24/2012,438.92,438.92,438.92,438.92
02/27/2012,428.62,428.62,428.62,428.62
02/28/2012,426.72,426.72,426.72,426.72
02/29/2012,432.81,432.81,432.81,432.81
03-01-2012,436.88,436.88,436.88,436.88
03-02-2012,446.09,446.09,446.09,446.09
03-05-2012,447.94,447.94,447.94,447.94
03-06-2012,443.61,443.61,443.61,443.61
03-07-2012,437.72,437.72,437.72,437.72
03-08-2012,440.65,440.65,440.65,440.65
03-09-2012,442.42,442.42,442.42,442.42
03-12-2012,442.5,442.5,442.5,442.5
03/13/2012,444.36,444.36,444.36,444.36
03/14/2012,446.8,446.8,446.8,446.8
03/15/2012,441.04,441.04,441.04,441.04
03/16/2012,453.17,453.17,453.17,453.17
03/19/2012,450.12,450.12,450.12,450.12
03/20/2012,446.89,446.89,446.89,446.89
03/21/2012,441.54,441.54,441.54,441.54
03/22/2012,441.42,441.42,441.42,441.42
03/23/2012,441.94,441.94,441.94,441.94
03/26/2012,439.34,439.34,439.34,439.34
03/27/2012,442.73,442.73,442.73,442.73
03/28/2012,440.59,440.59,440.59,440.59
03/29/2012,442.3,442.3,442.3,442.3
03/30/2012,445.44,445.44,445.44,445.44
04-02-2012,446.15,446.15,446.15,446.15
04-03-2012,438.9,438.9,438.9,438.9
04-04-2012,437.95,437.95,437.95,437.95
04-05-2012,437.95,437.95,437.95,437.95
04-10-2012,436.95,436.95,436.95,436.95
04-11-2012,436.91,436.91,436.91,436.91
04-12-2012,438.88,438.88,438.88,438.88
04/13/2012,442.25,442.25,442.25,442.25
04/16/2012,445.33,445.33,445.33,445.33
04/17/2012,447.87,447.87,447.87,447.87
04/18/2012,450.91,450.91,450.91,450.91
04/19/2012,449.19,449.19,449.19,449.19
04/20/2012,447.25,447.25,447.25,447.25
04/23/2012,448.99,448.99,448.99,448.99
04/24/2012,449.72,449.72,449.72,449.72
04/25/2012,451.94,451.94,451.94,451.94
04/26/2012,451.96,451.96,451.96,451.96
04/27/2012,448.13,448.13,448.13,448.13
04/30/2012,450.27,450.27,450.27,450.27
05-01-2012,450.27,450.27,450.27,450.27
05-02-2012,452.89,452.89,452.89,452.89
05-03-2012,459.24,459.24,459.24,459.24
05-04-2012,458.38,458.38,458.38,458.38
05-08-2012,452.24,452.24,452.24,452.24
05-09-2012,449.58,449.58,449.58,449.58
05-10-2012,449.51,449.51,449.51,449.51
05-11-2012,447.44,447.44,447.44,447.44
05/14/2012,441.55,441.55,441.55,441.55
05/15/2012,432.86,432.86,432.86,432.86
05/16/2012,424.5,424.5,424.5,424.5
05/17/2012,437.83,437.83,437.83,437.83
05/18/2012,425.04,425.04,425.04,425.04
05/21/2012,431.37,431.37,431.37,431.37
05/22/2012,432.21,432.21,432.21,432.21
05/23/2012,430.02,430.02,430.02,430.02
05/24/2012,428.66,428.66,428.66,428.66
05/25/2012,431.39,431.39,431.39,431.39
05/28/2012,433.62,433.62,433.62,433.62
05/29/2012,440.56,440.56,440.56,440.56
05/30/2012,439.32,439.32,439.32,439.32
05/31/2012,443.97,443.97,443.97,443.97
06-01-2012,440.98,440.98,440.98,440.98
06-05-2012,428.11,428.11,428.11,428.11
06-06-2012,431.82,431.82,431.82,431.82
06-07-2012,436.76,436.76,436.76,436.76
06-08-2012,434.38,434.38,434.38,434.38
06-11-2012,439.69,439.69,439.69,439.69
06-12-2012,439.69,439.69,439.69,439.69
06/13/2012,444.17,444.17,444.17,444.17
06/14/2012,437.38,437.38,437.38,437.38
06/15/2012,430.33,430.33,430.33,430.33
06/18/2012,440.54,440.54,440.54,440.54
06/19/2012,442.51,442.51,442.51,442.51
06/20/2012,448.51,448.51,448.51,448.51
06/21/2012,444.42,444.42,444.42,444.42
06/22/2012,445.09,445.09,445.09,445.09
06/25/2012,447.35,447.35,447.35,447.35
06/26/2012,449.51,449.51,449.51,449.51
06/27/2012,454.38,454.38,454.38,454.38
06/28/2012,454.69,454.69,454.69,454.69
06/29/2012,452.97,452.97,452.97,452.97
07-02-2012,458.01,458.01,458.01,458.01
07-03-2012,462.83,462.83,462.83,462.83
07-04-2012,462.19,462.19,462.19,462.19
07-05-2012,463.5,463.5,463.5,463.5
07-06-2012,463.54,463.54,463.54,463.54
07-09-2012,455.41,455.41,455.41,455.41
07-10-2012,451.75,451.75,451.75,451.75
07-11-2012,453.02,453.02,453.02,453.02
07-12-2012,450.36,450.36,450.36,450.36
07/13/2012,450.76,450.76,450.76,450.76
07/16/2012,458.28,458.28,458.28,458.28
07/17/2012,457.22,457.22,457.22,457.22
07/18/2012,452.36,452.36,452.36,452.36
07/19/2012,449.05,449.05,449.05,449.05
07/20/2012,451.78,451.78,451.78,451.78
07/23/2012,445.24,445.24,445.24,445.24
07/24/2012,446.59,446.59,446.59,446.59
07/25/2012,446.01,446.01,446.01,446.01
07/26/2012,444.38,444.38,444.38,444.38
07/27/2012,450.45,450.45,450.45,450.45
07/30/2012,456.29,456.29,456.29,456.29
07/31/2012,458.64,458.64,458.64,458.64
08-01-2012,457.75,457.75,457.75,457.75
08-02-2012,458.02,458.02,458.02,458.02
08-03-2012,457.26,457.26,457.26,457.26
08-06-2012,457.62,457.62,457.62,457.62
08-07-2012,457.62,457.62,457.62,457.62
08-08-2012,459.57,459.57,459.57,459.57
08-09-2012,455.59,455.59,455.59,455.59
08-10-2012,456.28,456.28,456.28,456.28
08/13/2012,457.79,457.79,457.79,457.79
08/14/2012,457.15,457.15,457.15,457.15
08/15/2012,456.94,456.94,456.94,456.94
08/16/2012,452.95,452.95,452.95,452.95
08/17/2012,450.89,450.89,450.89,450.89
08/20/2012,450.89,450.89,450.89,450.89
08/21/2012,450.89,450.89,450.89,450.89
08/22/2012,445.59,445.59,445.59,445.59
08/23/2012,449.57,449.57,449.57,449.57
08/24/2012,444.37,444.37,444.37,444.37
08/27/2012,444.37,444.37,444.37,444.37
08/28/2012,448.11,448.11,448.11,448.11
08/29/2012,449.85,449.85,449.85,449.85
08/30/2012,446.62,446.62,446.62,446.62
08/31/2012,451.13,451.13,451.13,451.13
09-03-2012,451.94,451.94,451.94,451.94
09-04-2012,448.27,448.27,448.27,448.27
09-05-2012,446.23,446.23,446.23,446.23
09-06-2012,446.12,446.12,446.12,446.12
09-07-2012,451.04,451.04,451.04,451.04
09-10-2012,450.19,450.19,450.19,450.19
09-11-2012,449.84,449.84,449.84,449.84
09-12-2012,451.53,451.53,451.53,451.53
09/13/2012,454.7,454.7,454.7,454.7
09/14/2012,461.89,461.89,461.89,461.89
09/17/2012,464.55,464.55,464.55,464.55
09/18/2012,463.45,463.45,463.45,463.45
09/19/2012,462.73,462.73,462.73,462.73
09/20/2012,460.11,460.11,460.11,460.11
09/21/2012,460.03,460.03,460.03,460.03
09/24/2012,464.11,464.11,464.11,464.11
09/25/2012,463.25,463.25,463.25,463.25
09/26/2012,461.39,461.39,461.39,461.39
09/27/2012,462.04,462.04,462.04,462.04
09/28/2012,465.6,465.6,465.6,465.6
10-01-2012,462.14,462.14,462.14,462.14
10-02-2012,465.07,465.07,465.07,465.07
10-03-2012,467.73,467.73,467.73,467.73
10-04-2012,473.14,473.14,473.14,473.14
10-05-2012,471.1,473.14,473.14,471.1
10-08-2012,469.98,469.98,469.98,469.98
10-09-2012,467.11,467.11,467.11,467.11
10-10-2012,464.9,464.9,464.9,464.9
10-11-2012,463.13,463.13,463.13,463.13
10-12-2012,464.42,464.42,464.42,464.42
10/15/2012,466.15,466.15,466.15,466.15
10/16/2012,466.85,466.85,466.85,466.85
10/17/2012,471.39,471.39,471.39,471.39
10/18/2012,471.8,471.8,471.8,471.8
10/19/2012,471.37,471.37,471.37,471.37
10/22/2012,470.12,470.12,470.12,470.12
10/23/2012,470.83,470.12,470.83,470.12
10/24/2012,467.29,467.29,467.29,467.29
10/25/2012,468.79,468.79,468.79,468.79
10/26/2012,468.79,468.79,468.79,468.79
10/29/2012,468.56,468.56,468.56,468.56
10/30/2012,470.11,470.11,470.11,470.11
10/31/2012,470.39,470.39,470.39,470.39
11-01-2012,470.39,470.39,470.39,470.39
11-02-2012,470.39,470.39,470.39,470.39
11-05-2012,474.2,474.2,474.2,474.2
11-06-2012,474.58,474.58,474.58,474.58
11-07-2012,472.45,472.45,472.45,472.45
11-08-2012,474.06,474.06,474.06,474.06
11-09-2012,475.31,475.31,475.31,475.31
11-12-2012,475.66,475.66,475.66,475.66
11/13/2012,474.1,474.1,474.1,474.1
11/14/2012,474.32,474.32,474.32,474.32
11/15/2012,472.11,472.11,472.11,472.11
11/16/2012,474.61,474.61,474.61,474.61
11/19/2012,473.79,473.79,473.79,473.79
11/20/2012,478.34,478.34,478.34,478.34
11/21/2012,482.03,482.03,482.03,482.03
11/22/2012,481.02,481.02,481.02,481.02
11/23/2012,485.75,485.75,485.75,485.75
11/26/2012,488.02,488.02,488.02,488.02
11/27/2012,488.43,488.43,488.43,488.43
11/28/2012,491.63,491.63,491.63,491.63
11/29/2012,494.01,494.01,494.01,494.01
