Date,Price,Open,High,Low
01-03-2012,"2,688.36","2,658.17","2,693.23","2,657.77"
01-04-2012,"2,711.02","2,708.55","2,714.68","2,694.78"
01-05-2012,"2,713.02","2,709.25","2,733.86","2,708.21"
01-06-2012,"2,715.59","2,708.45","2,717.60","2,699.81"
01-09-2012,"2,691.28","2,696.81","2,707.53","2,683.15"
01-10-2012,"2,719.83","2,705.81","2,721.62","2,699.00"
01-11-2012,"2,747.13","2,717.84","2,747.13","2,714.92"
01-12-2012,"2,743.66","2,740.98","2,759.77","2,732.31"
01/13/2012,"2,791.54","2,758.52","2,791.54","2,755.86"
01/16/2012,"2,756.49","2,772.32","2,772.63","2,746.60"
01/17/2012,"2,815.85","2,766.18","2,815.85","2,765.21"
01/18/2012,"2,795.40","2,804.58","2,824.72","2,792.56"
01/19/2012,"2,811.20","2,812.49","2,818.90","2,805.51"
01/20/2012,"2,849.38","2,821.35","2,852.46","2,820.37"
01/25/2012,"2,891.64","2,864.56","2,891.64","2,860.06"
01/26/2012,"2,894.43","2,906.77","2,917.59","2,876.16"
01/27/2012,"2,916.26","2,892.64","2,916.29","2,888.28"
01/30/2012,"2,888.29","2,900.72","2,907.68","2,881.68"
01/31/2012,"2,906.69","2,879.94","2,906.69","2,874.31"
02-01-2012,"2,904.76","2,900.27","2,905.97","2,883.49"
02-02-2012,"2,901.04","2,918.63","2,925.43","2,901.04"
02-03-2012,"2,917.95","2,911.11","2,931.77","2,908.49"
02-06-2012,"2,940.10","2,948.83","2,959.44","2,939.43"
02-07-2012,"2,957.78","2,945.34","2,963.19","2,941.45"
02-08-2012,"2,982.20","2,964.36","2,985.98","2,960.22"
02-09-2012,"2,981.17","2,969.01","2,992.93","2,957.01"
02-10-2012,"2,960.00","2,984.36","2,994.50","2,954.56"
02/13/2012,"2,976.34","2,963.40","2,978.33","2,952.22"
02/14/2012,"2,987.41","2,975.43","2,988.13","2,955.98"
02/15/2012,"3,011.68","2,998.41","3,014.76","2,982.63"
02/16/2012,"2,977.20","3,005.71","3,006.25","2,973.61"
02/17/2012,"3,000.59","3,004.26","3,010.67","2,984.68"
02/20/2012,"3,021.19","3,021.19","3,021.53","3,000.64"
02/21/2012,"3,025.07","3,023.89","3,031.45","3,003.62"
02/22/2012,"2,995.59","3,013.48","3,019.57","2,995.59"
02/23/2012,"2,968.34","2,977.12","2,988.63","2,956.66"
02/24/2012,"2,978.08","2,976.83","2,978.08","2,960.02"
02/27/2012,"2,946.78","2,973.45","2,983.51","2,946.57"
02/28/2012,"2,969.73","2,952.95","2,970.44","2,945.37"
02/29/2012,"2,994.06","2,980.58","2,999.16","2,978.55"
03-01-2012,"2,978.84","2,998.87","3,010.50","2,974.94"
03-02-2012,"2,993.49","3,002.21","3,003.12","2,985.37"
03-05-2012,"2,991.80","2,994.92","2,998.12","2,983.19"
03-06-2012,"2,932.01","2,993.29","2,993.58","2,924.46"
03-07-2012,"2,913.16","2,910.15","2,928.56","2,906.58"
03-08-2012,"2,970.38","2,927.77","2,970.38","2,927.46"
03-09-2012,"2,963.15","2,970.76","2,987.16","2,963.15"
