Date,Price,Open,High,Low
01-04-2010,"5,232.20","5,200.90","5,238.45","5,167.10"
01-05-2010,"5,277.90","5,277.15","5,288.35","5,242.40"
01-06-2010,"5,281.80","5,278.15","5,310.85","5,260.05"
01-07-2010,"5,263.10","5,281.80","5,302.55","5,244.75"
01-08-2010,"5,244.75","5,264.25","5,276.75","5,234.70"
01-11-2010,"5,249.40","5,263.80","5,287.20","5,227.80"
01-12-2010,"5,210.40","5,251.10","5,300.50","5,200.95"
01/13/2010,"5,233.95","5,212.60","5,239.20","5,169.55"
01/14/2010,"5,259.90","5,234.50","5,272.85","5,232.50"
01/15/2010,"5,252.20","5,259.90","5,279.85","5,242.45"
01/18/2010,"5,274.85","5,253.65","5,292.50","5,228.95"
01/19/2010,"5,225.65","5,274.20","5,287.80","5,218.65"
01/20/2010,"5,221.70","5,226.10","5,256.70","5,201.40"
01/21/2010,"5,094.15","5,220.20","5,220.35","5,085.45"
01/22/2010,"5,036.00","5,094.15","5,094.15","4,954.85"
01/25/2010,"5,007.90","5,034.55","5,035.70","4,983.05"
01/27/2010,"4,853.10","5,008.50","5,008.50","4,833.05"
01/28/2010,"4,867.25","4,863.00","4,929.90","4,824.95"
01/29/2010,"4,882.05","4,866.15","4,893.70","4,766.00"
02-01-2010,"4,899.70","4,882.05","4,918.80","4,827.15"
02-02-2010,"4,830.10","4,907.85","4,951.15","4,814.10"
02-03-2010,"4,931.85","4,831.00","4,949.15","4,831.00"
02-04-2010,"4,845.35","4,931.30","4,931.30","4,832.35"
02-05-2010,"4,718.65","4,819.65","4,827.00","4,692.35"
02-06-2010,"4,757.25","4,712.75","4,768.15","4,712.75"
02-08-2010,"4,760.40","4,755.35","4,799.05","4,675.40"
02-09-2010,"4,792.65","4,760.55","4,810.40","4,739.35"
02-10-2010,"4,757.20","4,793.00","4,826.85","4,748.10"
02-11-2010,"4,826.85","4,757.25","4,843.80","4,757.25"
02/15/2010,"4,801.95","4,827.90","4,845.60","4,783.90"
02/16/2010,"4,855.75","4,801.80","4,880.00","4,791.35"
02/17/2010,"4,914.00","4,858.65","4,929.70","4,857.60"
02/18/2010,"4,887.75","4,915.10","4,922.05","4,873.70"
02/19/2010,"4,844.90","4,887.30","4,887.30","4,805.55"
02/22/2010,"4,856.40","4,849.35","4,912.05","4,845.90"
02/23/2010,"4,870.05","4,856.60","4,884.10","4,833.15"
02/24/2010,"4,858.60","4,869.55","4,880.55","4,834.65"
02/25/2010,"4,859.75","4,859.00","4,880.15","4,835.60"
02/26/2010,"4,922.30","4,858.50","4,992.00","4,858.45"
03-02-2010,"5,017.00","4,935.60","5,029.45","4,935.35"
03-03-2010,"5,088.10","5,015.80","5,093.25","5,015.10"
03-04-2010,"5,080.25","5,096.95","5,096.95","5,049.00"
03-05-2010,"5,088.70","5,080.55","5,118.65","5,068.05"
03-08-2010,"5,124.00","5,092.15","5,147.10","5,092.15"
03-09-2010,"5,101.50","5,121.05","5,131.80","5,094.35"
03-10-2010,"5,116.25","5,101.60","5,137.40","5,092.05"
03-11-2010,"5,133.40","5,116.35","5,152.60","5,102.10"
03-12-2010,"5,137.00","5,131.80","5,158.10","5,122.10"
03/15/2010,"5,128.90","5,134.45","5,151.05","5,101.20"
03/16/2010,"5,198.10","5,128.95","5,209.25","5,125.70"
03/17/2010,"5,231.90","5,198.45","5,260.50","5,177.15"
03/18/2010,"5,245.90","5,232.55","5,255.65","5,214.40"
03/19/2010,"5,262.80","5,246.80","5,269.95","5,237.10"
03/22/2010,"5,205.20","5,260.95","5,260.95","5,187.05"
03/23/2010,"5,225.30","5,205.85","5,243.60","5,193.40"
03/25/2010,"5,260.40","5,225.30","5,267.30","5,202.95"
03/26/2010,"5,282.00","5,260.55","5,293.75","5,260.55"
03/29/2010,"5,302.85","5,283.90","5,329.55","5,242.15"
03/30/2010,"5,262.45","5,302.95","5,325.00","5,251.35"
03/31/2010,"5,249.10","5,260.40","5,293.90","5,235.15"
04-01-2010,"5,290.50","5,249.20","5,298.60","5,249.20"
04-05-2010,"5,368.40","5,291.40","5,377.55","5,291.40"
04-06-2010,"5,366.00","5,369.65","5,388.65","5,351.70"
04-07-2010,"5,374.65","5,365.70","5,399.65","5,345.05"
04-08-2010,"5,304.45","5,376.30","5,383.65","5,290.25"
04-09-2010,"5,361.75","5,302.40","5,377.45","5,302.25"
04-12-2010,"5,339.70","5,354.15","5,382.15","5,324.90"
04/13/2010,"5,322.95","5,340.85","5,356.50","5,301.70"
04/15/2010,"5,273.60","5,323.30","5,373.15","5,265.30"
04/16/2010,"5,262.60","5,273.40","5,283.05","5,237.55"
04/19/2010,"5,203.65","5,279.05","5,279.05","5,160.90"
04/20/2010,"5,230.10","5,208.30","5,257.25","5,208.30"
04/21/2010,"5,244.90","5,230.30","5,266.30","5,230.30"
04/22/2010,"5,269.35","5,248.60","5,331.80","5,221.10"
04/23/2010,"5,304.10","5,269.65","5,311.05","5,269.65"
04/26/2010,"5,322.45","5,299.35","5,342.35","5,299.35"
04/27/2010,"5,308.35","5,322.10","5,330.55","5,301.40"
04/28/2010,"5,215.45","5,308.20","5,308.25","5,202.45"
04/29/2010,"5,254.15","5,215.25","5,264.75","5,214.80"
04/30/2010,"5,278.00","5,254.20","5,294.80","5,254.20"
05-03-2010,"5,222.75","5,278.40","5,278.70","5,210.05"
05-04-2010,"5,148.50","5,223.90","5,250.15","5,134.85"
05-05-2010,"5,124.90","5,148.35","5,148.35","5,056.50"
05-06-2010,"5,090.85","5,124.40","5,124.90","5,037.75"
05-07-2010,"5,018.05","5,072.30","5,085.65","4,984.60"
05-10-2010,"5,193.60","5,026.60","5,203.30","5,026.60"
05-11-2010,"5,136.15","5,189.75","5,206.70","5,126.50"
05-12-2010,"5,156.65","5,133.75","5,172.85","5,098.80"
05/13/2010,"5,178.90","5,157.55","5,212.70","5,147.95"
05/14/2010,"5,093.50","5,180.55","5,192.75","5,070.95"
05/17/2010,"5,059.90","5,093.90","5,094.55","4,966.25"
05/18/2010,"5,066.20","5,059.55","5,105.20","5,024.25"
05/19/2010,"4,919.65","5,065.10","5,065.10","4,908.15"
05/20/2010,"4,947.60","4,924.30","4,980.25","4,924.30"
05/21/2010,"4,931.15","4,946.70","4,946.70","4,842.30"
05/24/2010,"4,943.95","4,944.30","5,029.55","4,923.45"
05/25/2010,"4,806.75","4,945.30","4,946.60","4,786.45"
05/26/2010,"4,917.40","4,807.30","4,925.45","4,807.30"
05/27/2010,"5,003.10","4,915.15","5,016.60","4,897.60"
05/28/2010,"5,066.55","5,005.60","5,077.25","5,005.60"
05/31/2010,"5,086.30","5,076.10","5,097.60","5,038.55"
06-01-2010,"4,970.20","5,086.25","5,086.95","4,961.05"
06-02-2010,"5,019.85","4,970.75","5,031.20","4,967.05"
06-03-2010,"5,110.50","5,020.15","5,125.70","5,020.15"
06-04-2010,"5,135.50","5,112.60","5,147.90","5,091.60"
06-07-2010,"5,034.00","5,132.95","5,132.95","5,004.25"
06-08-2010,"4,987.10","5,036.70","5,071.35","4,967.30"
06-09-2010,"5,000.30","4,985.05","5,050.60","4,980.10"
06-10-2010,"5,078.60","4,999.60","5,085.20","4,997.60"
06-11-2010,"5,119.35","5,078.75","5,139.05","5,078.75"
06/14/2010,"5,197.70","5,120.15","5,201.25","5,120.15"
06/15/2010,"5,222.35","5,201.30","5,231.45","5,171.05"
06/16/2010,"5,233.35","5,225.05","5,255.65","5,214.90"
06/17/2010,"5,274.85","5,233.65","5,285.55","5,206.55"
06/18/2010,"5,262.60","5,274.95","5,302.30","5,245.50"
06/21/2010,"5,353.30","5,266.50","5,366.75","5,266.50"
06/22/2010,"5,316.55","5,353.95","5,354.35","5,311.05"
06/23/2010,"5,323.15","5,316.15","5,333.30","5,288.15"
06/24/2010,"5,320.60","5,323.25","5,348.30","5,284.55"
06/25/2010,"5,269.05","5,320.50","5,320.50","5,259.90"
06/28/2010,"5,333.50","5,271.10","5,339.45","5,270.75"
06/29/2010,"5,256.15","5,333.55","5,334.15","5,235.80"
06/30/2010,"5,312.50","5,254.25","5,320.35","5,210.00"
07-01-2010,"5,251.40","5,312.05","5,312.55","5,232.10"
07-02-2010,"5,237.10","5,251.25","5,277.25","5,225.60"
07-05-2010,"5,235.90","5,237.00","5,252.75","5,225.85"
07-06-2010,"5,289.05","5,236.10","5,297.45","5,231.50"
07-07-2010,"5,241.10","5,293.10","5,296.75","5,233.45"
07-08-2010,"5,296.85","5,242.00","5,320.50","5,242.00"
07-09-2010,"5,352.45","5,297.20","5,359.05","5,297.20"
07-12-2010,"5,383.00","5,352.25","5,402.70","5,351.60"
07/13/2010,"5,400.65","5,370.20","5,406.20","5,357.85"
07/14/2010,"5,386.15","5,402.00","5,453.45","5,371.70"
07/15/2010,"5,378.75","5,387.10","5,399.20","5,360.60"
07/16/2010,"5,393.90","5,376.65","5,401.35","5,374.40"
07/19/2010,"5,386.45","5,392.70","5,409.10","5,361.50"
07/20/2010,"5,368.00","5,387.00","5,416.45","5,353.60"
07/21/2010,"5,399.35","5,368.85","5,409.10","5,368.85"
07/22/2010,"5,441.95","5,399.15","5,447.15","5,372.20"
07/23/2010,"5,449.10","5,441.90","5,477.50","5,435.15"
07/26/2010,"5,418.60","5,446.55","5,466.25","5,409.20"
07/27/2010,"5,430.60","5,420.20","5,450.95","5,407.20"
07/28/2010,"5,397.55","5,436.10","5,447.85","5,386.25"
07/29/2010,"5,408.90","5,397.85","5,415.85","5,381.55"
07/30/2010,"5,367.60","5,408.40","5,413.25","5,349.20"
08-02-2010,"5,431.65","5,369.55","5,438.85","5,351.30"
08-03-2010,"5,439.55","5,432.50","5,459.20","5,426.40"
08-04-2010,"5,467.85","5,441.35","5,481.90","5,428.40"
08-05-2010,"5,447.10","5,470.15","5,487.15","5,443.10"
08-06-2010,"5,439.25","5,448.25","5,471.90","5,431.35"
08-09-2010,"5,486.15","5,439.80","5,492.30","5,433.25"
08-10-2010,"5,460.70","5,486.80","5,491.45","5,445.35"
08-11-2010,"5,420.60","5,460.70","5,474.60","5,412.00"
08-12-2010,"5,416.45","5,418.70","5,431.10","5,372.45"
08/13/2010,"5,452.10","5,420.65","5,476.50","5,415.50"
